,repository_name,language
0,1d-pinn-reconstruction,Jupyter Notebook
1,889-Compliance-SAM-Tool-,Python
2,abaverify,Python
3,ACCoRD,
4,ADOPT,Python
5,aerie,
6,AGTF30,MATLAB
7,AGTF30-e,HTML
8,AI4LS,Python
9,airfoil-learning,Python
10,aladyn,
11,aladynpi,
12,AmesGCM,Fortran
13,AMMPER,Python
14,Analysis_SDK,
15,aos-dr,C
16,api-docs,SCSS
17,api-docs-stage,
18,apod-api,Python
19,AppEEARS-Data-Resources,Jupyter Notebook
20,AprilNav,C++
21,AQUAMI-TGO,Python
22,ARC-SGE-interns-19,CSS
23,ASDC_DAAC_TUTORIALS,
24,ASDC_Data_and_User_Services,Jupyter Notebook
25,astrobee,C++
26,astrobee_android,Java
27,astrobee_gds,Java
28,astrobee_media,CMake
29,astrobot,JavaScript
30,atd2-fuser,Java
31,autodoc,
32,batchee,
33,BGA,
34,bingo,Python
35,bingocpp,C++
36,bp,C
37,bplib,C
38,BrightComets,Python
39,camel,Python
40,cape,Python
41,cape-doc,
42,CARA_Analysis_Tools,MATLAB
43,cash,Shell
44,CCDD,Java
45,ccmc-swpc-cat-web,Python
46,CCSDS-MAL-Http-Binding-Xml-Encoding,Java
47,CertWare,Java
48,CF,C
49,cfdtools,Fortran
50,cFE,C
51,CFL3D,Fortran
52,cFS,CMake
53,CFS-101,
54,cFS-EDS-GroundStation,Python
55,cFS-GroundSystem,Python
56,CFS_CI,C
57,CFS_IO_LIB,C
58,cfs_lib,C
59,CFS_TO,C
60,channel-emulator,C++
61,ci_lab,C
62,cmr-csw,Ruby
63,cmr-dummy-repo,
64,cmr-graphql,JavaScript
65,cmr-metadata-review,Ruby
66,cmr-opensearch,Ruby
67,cmr-stac,TypeScript
68,coda,
69,code-nasa-gov,CSS
70,code.nasa.gov_legacy,CSS
71,common-mapping-client,JavaScript
72,Common-Metadata-Repository,Clojure
73,CompDam_DGD,Fortran
74,Computational-Materials-Miniapp1,
75,concept-tagging-api,Python
76,concept-tagging-training,Python
77,conduit_cms,
78,content-guide,CSS
79,Coordinate-systems-class-library,C++
80,COTS-Star-Tracker,Python
81,CPB,
82,cpr,OCaml
83,cratous,C
84,crew-state-risk-model,
85,CrisisMappingToolkit,Python
86,CryptoLib,C
87,CS,C
88,CTF,Python
89,CTT,Apex
